stock_id,name,market,industry,isin,listed_date,is_emerging
6785.TWO,昱展新藥,上櫃,生技醫療業,TW0006785009,2024/01/24,0
6786.TWO,芯測,興櫃,半導體業,TW0006786007,2020/08/19,1
6787.TWO,晶瑞光,興櫃,光電業,TW0006787005,2021/04/16,1
6788.TWO,華景電,上櫃,半導體業,TW0006788003,2021/09/29,0
6789.TW,采鈺,上市,半導體業,TW0006789001,2022/06/30,0
6790.TW,永豐實,上市,造紙工業,TW0006790009,2021/09/29,0
6791.TWO,虎門科技,上櫃,資訊服務業,TW0006791007,2022/11/14,0
6792.TW,詠業,上市,通信網路業,TW0006792005,2021/12/08,0
6793.TWO,天力離岸,興櫃,其他業,TW0006793003,2020/10/30,1
6794.TW,向榮生技,上市,生技醫療業,TW0006794001,2025/10/16,0
6796.TW,晉弘,上市,生技醫療業,TW0006796006,2022/06/01,0
6797.TWO,圓點奈米,興櫃,生技醫療業,TW0006797004,2020/11/05,1
6798.TWO,展逸,興櫃,運動休閒,TW0006798002,2023/04/27,1
6799.TW,來頡,上市,半導體業,TW0006799000,2022/05/12,0
6803.TWO,崑鼎,上櫃,綠能環保,TW0006803000,2010/05/27,0
6804.TWO,明係,上櫃,運動休閒,TW0006804008,2022/03/31,0
6805.TW,富世達,上市,電子零組件業,TW0006805005,2023/11/09,0
6806.TW,森崴能源,上市,綠能環保,TW0006806003,2021/11/15,0
6807.TW,峰源-KY,上市,居家生活,KYG3425A1013,2022/04/25,0
6808.TWO,三鼎生技,興櫃,生技醫療業,TW0006808009,2020/12/25,1
6810.TWO,新穎生醫,興櫃,生技醫療業,TW0006810005,2021/08/30,1
6811.TWO,宏碁資訊,上櫃,數位雲端,TW0006811003,2022/08/09,0
6812.TWO,梭特,興櫃,光電業,TW0006812001,2021/02/04,1
6814.TWO,路迦生醫,興櫃,生技醫療業,TW0006814007,2020/12/31,1
6815.TWO,晶鑽生醫,興櫃,生技醫療業,TW0006815004,2021/01/29,1
6816.TWO,捷智商訊,興櫃,資訊服務業,TW0006816002,2021/01/18,1
6817.TWO,溫士頓,興櫃,生技醫療業,TW0006817000,2021/02/24,1
6818.TWO,連騰,興櫃,通信網路業,TW0006818008,2021/01/21,1
6819.TWO,眾智,興櫃,半導體業,TW0006819006,2021/02/05,1
6820.TWO,連訊,興櫃,通信網路業,TW0006820004,2021/03/22,1
6821.TWO,聯寶,上櫃,電子零組件業,TW0006821002,2023/05/22,0
6823.TWO,濾能,上櫃,半導體業,TW0006823008,2022/06/30,0
